user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
5583,2,0,0.0,2,2,2,2,2,0,0,2,0,0.0,2,2,2,2,2,0,0,0,14,99999,1,0,0,0.0,1,0,1
13313,6,1,7.0,6,6,3,4,4,1,1,6,1,7.0,6,6,3,4,4,1,1,0,8,14,1,1,1,7.0,0,0,1
36325,4,0,0.0,3,3,2,3,3,0,0,4,0,0.0,3,3,2,3,3,0,0,0,14,99999,1,0,0,0.0,1,0,1
46253,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
96565,23,0,0.0,11,10,5,8,8,0,0,23,0,0.0,11,10,5,8,8,0,0,0,1,99999,1,0,0,0.0,0,0,1
73303,8,0,0.0,6,6,6,6,6,0,0,8,0,0.0,6,6,6,6,6,0,0,0,8,99999,1,0,0,0.0,0,0,1
128880,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
22189,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,0,0,1
15062,14,4,117.0,14,13,3,7,7,4,1,14,4,117.0,14,13,3,7,7,4,1,0,11,11,1,1,4,117.0,0,0,1
115069,1,1,10.0,1,1,1,1,1,1,1,1,1,10.0,1,1,1,1,1,1,1,0,14,14,1,1,1,10.0,1,0,1
257,1,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,14,99999,1,0,0,0.0,1,0,1
25009,21,1,11.0,20,20,8,13,13,1,1,21,1,11.0,20,20,8,13,13,1,1,0,6,14,1,1,1,11.0,0,1,0
76028,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
59250,1,0,0.0,1,1,1,1,1,0,0,1,0,0.0,1,1,1,1,1,0,0,0,14,99999,1,0,0,0.0,1,0,1
